org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
물량을,1,3,5,1,0,5,2,0,1,1,1,2,5,5
물론,3,13,9,8,3,4,5,1,4,2,5,5,2,7
물류,4,12,1,1,1,16,7,30,6,8,7,3,8,13
뮤지엄,10,3,0,2,3,4,2,1,2,1,3,0,1,2
미국,32,52,41,47,30,78,48,14,23,59,28,46,74,59
미국발,2,3,3,2,1,7,3,0,2,4,1,2,8,7
미국에서,3,11,11,10,2,18,7,2,4,6,6,10,9,7
미국의,9,11,8,10,11,16,8,5,4,10,6,10,12,8
미국채,2,1,1,0,2,2,3,1,2,7,2,4,4,2
미래,1,7,9,6,0,12,6,0,6,2,4,2,10,12
미래에셋운용,1,2,0,0,0,3,5,2,1,6,1,2,5,2
미션,3,2,3,3,3,5,1,0,1,2,4,3,2,2
미션을,3,2,3,3,3,5,1,0,1,2,4,3,2,2
민영화,3,11,11,10,2,18,7,2,4,6,6,10,9,7
밀도,2,5,0,5,1,2,8,1,0,2,12,0,0,2
밀키스,1,1,1,4,4,4,1,0,1,1,7,4,1,2
바디케어,1,1,1,4,4,4,1,0,1,1,7,4,1,2
바이오,3,3,1,3,0,6,3,1,1,0,0,3,4,1
바탕으로,1,0,0,1,2,2,1,0,1,3,0,2,3,1
박기수,1,2,2,0,2,5,2,0,1,4,0,2,4,2
박민선,4,4,1,5,1,3,4,1,1,6,3,1,5,5
박정화,1,1,1,4,4,4,1,0,1,1,7,4,1,2
박차를,1,7,9,6,0,12,6,0,6,2,4,2,10,12
반대로,2,1,1,0,2,2,3,1,2,7,2,4,4,2
반도체,39,74,28,42,15,99,60,34,96,57,32,23,84,78
반도체는,3,4,1,0,1,4,2,1,3,2,0,2,5,3
반도체의,3,11,11,10,2,18,7,2,4,6,6,10,9,7
반응,1,2,3,6,3,4,5,1,0,3,1,4,3,3
반응을,0,3,1,3,0,2,3,0,1,2,2,3,4,3
반포3주구,1,2,0,0,0,2,2,1,0,2,2,0,2,2
받는,2,1,1,0,2,2,3,1,2,7,2,4,4,2
받을,3,3,1,7,6,5,4,1,1,2,8,5,1,2
발맞춰,1,3,2,1,0,3,3,1,3,5,0,0,5,7
