org,topic_0,topic_1,topic_10,topic_100,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_3,topic_30,topic_31,topic_32,topic_33,topic_34,topic_36,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_53,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_7,topic_70,topic_72,topic_73,topic_74,topic_75,topic_77,topic_78,topic_79,topic_8,topic_81,topic_82,topic_83,topic_84,topic_85,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96
샤프,47.83 (0%),,,,,,,,,,,,,,,,,,,,41.32 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.82 (0%),,,,,,,,,46.39 (0%),27.45 (0%),,,,,,,,44.60 (0%),,,,,,,,,,30.42 (0%),,36.77 (0%)
선익시스템,51.29 (0%),,53.76 (0%),,,,,,,,,,,,,,,33.76 (0%),,,,,,,,,33.86 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.80 (0%),31.90 (0%),,,,,,,,31.65 (0%),,,,,,,,31.42 (0%),,,,
세미파이브,6.24 (0%),,,,,,,,,,7.36 (0%),,,,,,,,,,,,,,6.03 (0%),,,,,,,,,5.15 (0%),,,,,,,,,,4.49 (0%),,,,,,,,,5.45 (0%),,,,,,,,,6.68 (0%),,,,,,,9.08 (0%),,,,,,,,,,,,,
소니,88.72 (1%),,40.50 (0%),,,,,,,,,,,,,,41.17 (1%),,,,67.42 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11 (1%),,,,,,,,,71.22 (1%),,,,,,,,47.84 (1%),,,,41.36 (1%)
아마존,132.05 (1%),,110.22 (1%),,,,,,132.23 (2%),,95.17 (1%),,,,,,,89.98 (1%),94.96 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.66 (1%),,,,,,,,,81.61 (1%),,,,
아이씨디,29.11 (0%),,46.78 (0%),,,,,16.80 (0%),,,,,,,,,,23.92 (0%),,19.57 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.95 (0%),,,,,,,,,,,,,,29.54 (0%),,,16.42 (0%),,,,
알파벳,65.16 (0%),,62.14 (1%),,,,,,102.33 (2%),,52.27 (1%),,,,,,,45.02 (0%),49.64 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74 (2%),,,,48.18 (1%),,,,,,,,,,,,,
애플,1790.40 (10%),,,,,,,,,,,,,,,,1553.82 (27%),,,,,1112.25 (28%),,,,,,,,,,,,,,,,,,,,,,1182.50 (22%),,,,,,,,,,,,,,857.34 (15%),,,959.80 (8%),866.29 (10%),,,,,,,,910.22 (8%),,,,,,,,,,,,
엔비디아,391.38 (2%),,342.38 (3%),,,,,,312.17 (6%),,350.88 (5%),,,,,,,255.67 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.68 (5%),364.72 (4%),,,,,,,,,,,,235.91 (4%),
오포,94.27 (1%),,,,56.69 (2%),,,,,,,,,,,,66.51 (1%),,,,,,,,,,,67.63 (1%),,,,,,,,,,,,,,,,,,,,,55.15 (1%),,,,,,,,,,,,72.49 (1%),50.45 (1%),,,,,,,,62.59 (1%),,,,,,,,,,,,
원익IPS,48.52 (0%),,80.30 (1%),,,,,37.99 (1%),,,40.49 (1%),,,,,,,56.98 (1%),,36.24 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.89 (1%),,,,,,75.97 (1%),,,,,,,
