org,topic_0,topic_1,topic_101,topic_102,topic_11,topic_12,topic_13,topic_14,topic_17,topic_18,topic_19,topic_2,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_32,topic_33,topic_35,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_49,topic_5,topic_50,topic_51,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_61,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_7,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_88,topic_89,topic_9,topic_90,topic_92,topic_93,topic_94,topic_96,topic_97,topic_98,topic_99
미디어텍,39.51 (0%),19.99 (0%),,,19.55 (0%),23.02 (0%),,,,,,,,,,,,,,,,15.83 (0%),,,,15.70 (0%),,,18.58 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.88 (0%),,,,,,,,
바이두,9.01 (0%),4.28 (0%),,,5.59 (0%),5.04 (0%),,,,,,,4.32 (0%),,,,,,,,,,,,,,,,5.51 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03 (0%),,,,,,4.92 (0%),,,,,,,,,,,,,,,,,,,,
벤츠,49.91 (0%),36.72 (0%),,,31.13 (0%),,,,,,,,,,,,,,29.53 (0%),,,,,,,,,,,,,,29.21 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.61 (1%),,,,,,,,,27.99 (1%),,,,36.75 (1%),,,
비보,70.01 (0%),59.26 (0%),,,,,,,,,,,,,,,,43.12 (1%),,,,,,,,59.67 (1%),41.01 (1%),,,,,,,,77.37 (2%),,,,,57.29 (1%),,,,,,,,,,,,,,,50.36 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성디스플레이,1445.21 (7%),1368.70 (9%),,,896.54 (7%),,,,,1015.17 (18%),,,,,,,,,,,,,,,,,811.48 (10%),,,,,,,,,,,,777.41 (40%),1001.01 (13%),,,,,,,,,,,,,,,902.84 (11%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성전자,3026.28 (15%),1720.69 (12%),,,1652.73 (14%),1910.71 (23%),,,,,,,,,,,,,,,,1569.72 (16%),,,,,,,1301.95 (15%),1298.94 (32%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.79 (16%),,,,,,,,,,,,,,,,,,,,
샤오미,270.33 (1%),233.47 (2%),,,,,,,,,,,,,,,,,,,,198.55 (2%),,,,135.05 (2%),,,,,,,,,129.46 (3%),,,,,123.62 (2%),,,,,,,,,,,,,,,,,166.22 (7%),,,,,,,,,138.57 (2%),,,,,,,,,,,,,,,,,,,,
샤오펑,23.57 (0%),20.71 (0%),,,,,,,,,,,17.27 (0%),,,15.71 (0%),,,,,,21.58 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.15 (1%),,,,,,,,,18.99 (0%),,,,20.08 (1%),,,,,,,,,,,,,,,,
샤프,40.90 (0%),55.69 (0%),,,,,,,,,,,,,,,,,,,,41.01 (0%),,,,,20.86 (0%),,,,,,,,,20.03 (0%),,,,20.35 (0%),,,,,,,,,,,,,,,25.90 (0%),,,,,,,26.82 (0%),,,,,,,,,,,,,,,,,,,,,,,,
선익시스템,48.52 (0%),54.26 (0%),,,55.86 (0%),,36.24 (1%),,,,,,,,,,,,,,,,27.55 (1%),,,,35.97 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,28.78 (0%),,,,,,,30.45 (0%),,,,,,,,,,,,,,,,,,,,,,,,
세미파이브,10.40 (0%),,,,,9.35 (0%),,,,,,,,,,,,,4.89 (0%),,,,,,,,,,5.51 (0%),,,5.98 (0%),,4.45 (0%),,,,,,,,,,,,,,,,,,,,,7.19 (0%),,,,,,,,,,,,,,5.36 (0%),,,,,,,,,,,,,,,,,
소니,85.95 (0%),82.11 (1%),,,40.50 (0%),,,,,,,,,,,,,,,,,66.90 (1%),,,,40.83 (1%),,,,,,,,,,,,,,38.44 (1%),,,,,,,,,,,,,,,37.41 (0%),,,,,,,,,,,43.61 (1%),,,,,,,,,,,,,,,,,,,,
아마존,209.32 (1%),96.12 (1%),,,115.17 (1%),102.95 (1%),,,,,,,78.52 (1%),,,107.37 (2%),187.49 (3%),,,,,,,,,,,,130.19 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아이씨디,26.34 (0%),22.13 (0%),,,46.78 (0%),,20.30 (0%),,,,,,,,,,,,18.15 (0%),,,,19.57 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.29 (0%),,,,,,,,,,,,,,,,,,,,,,29.54 (0%),,,,,,,,
알파벳,120.61 (1%),53.55 (0%),,,67.03 (1%),58.99 (1%),,,,,,,,,,57.12 (1%),138.40 (2%),,,,,,,,,,,,75.69 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.71 (2%),,,,,,,,,,
애플,1979.63 (9%),1158.26 (8%),,,,,,,,,,,,,,,,1132.72 (28%),,,,,,,,1589.49 (27%),,,,,,,,,,,,,,1009.11 (13%),,,,,,,,,,,,,,1216.85 (22%),831.66 (9%),,,,,,,,,,,,,,,,,,,817.39 (21%),,,,,,,,,,,,
